code;combe;quad;placette;n.placette;date;proxi;year;Agrostis rupestris;Alchemilla flabellata;Anthyllis vulneraria;Armeria alpina (var. occasiana);Armeria muelleri;Avenula versicolor;Bartsia alpina;Campanula scheuchzeri subsp. lanceolata;Cardamine alpina;Cardamine resedifolia;Cardamine sp.;Carex curvula subsp. curvula;Carex parviflora;Carex pyrenaica;Epikeros pyrenaeus;Euphrasia minima;Festuca glacialis;Festuca paniculata subsp. paniculata;Festuca rubra subsp. commutata;Gentiana alpina;Gentiana nivalis;Gentiana schleicheri;Geum montanum;Gnaphalium supinum;Helictotrichon sedenense;Homogyne alpina;Jasione crispa;Juncus trifidus;Leucanthemopsis alpina subsp. alpina;Linaria alpina;Lotus alpinus;Luzula alpinopilosa subsp. candollei;Luzula lutea;Luzula nutans;Luzula spicata (subsp. mutabilis);Meum athamanticum;Mucizonia sedoides;Murbeckiella pinnatifida;Nardus stricta;Oreochloa elegans;Pedicularis pyrenaica;Persicaria vivipara;Phleum alpinum s. s. (à arrête non ciliée);Phyteuma hemisphaericum;Poa alpina;Poa cenisia;Polytrichum sp.;Primula integrifolia;Rhododendron ferrugineum;Sagina saginoides;Salix herbacea;Salix retusa;Saxifraga geranioides;Saxifraga moschata;Scorzoneroides pyrenaica;Sedum alpestre;Sempervivum montanum;Sibbaldia procumbens;Silene acaulis subsp. acaulis;Silene rupestris;Soldanella alpina;Taraxacum pyrenaicum;Trifolium alpinum;Trifolium thalii;Vaccinium myrtillus;Veronica alpina
PdlC-A2-20160907;PdlC;A2;1;3;20160907;pheno;2016;di;;;;;;;fe;;;;;;;;;;;;fr;;;fe;di;;di;;;;;fe;;;;;;;;;;;;;;di;;;;;;se;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A2-20170705;PdlC;A2;1;3;20170705;pheno;2017;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;fe;;fe;;;;;fe;;;;;;;;;;;;;fe;fe;;;fl;;;fe;;;;fe;fe;;fe;;;;;fe;;;fe
PdlC-A2-20170726;PdlC;A2;1;3;20170726;pheno;2017;;;;;;;;;;;;;;fl;;;;;;fe;;;fe;fl;;fl;;;;;fe;;;;;;;;;;;;;fe;fl;;;fl;;;fl f;;;;fl;fe;;fe;;;;;fe;;;fe
PdlC-A2-20170816;PdlC;A2;1;3;20170816;pheno;2017;;;;;;;;;;;;;;fl;;;;;;fe;;;fe;fr;;fl;;;fe;;fe;;;;;;;;;;;;;fe;di;;;fe;;;di;;;;fe;fe;;fe;;;;;fe;;;fe
PdlC-A2-20170908;PdlC;A2;1;3;20170908;pheno;2017;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;di;;fe;;;;;fe;;;;;;;;;;;;;fe;se;;;fe;;;se;;;;fe;fe;;fe;;;;;fe;;;
PdlC-A2-20180702;PdlC;A2;1;3;20180702;pheno;2018;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;fe;;fe;;;;;;;;;;;;;;fe;;;;;fe;;;fe;;;br;;;;;fe;;fe;;;;;fe;;;
PdlC-A2-20180723;PdlC;A2;1;3;20180723;pheno;2018;;;;;;;;fe;;;;;;fe;;;;;;fe;;;fe;fe;;fl;;;;;;;;;;;;;;fe;;;;fe;bt;;;fe;;;fl f;;;;fe;fe;;fl;;;;;fe;;;fe
PdlC-A2-20180815;PdlC;A2;1;3;20180815;pheno;2018;;;;;;fr;;fe;;;;;;fe;;;;;fl;fe;;;fe;fr;;fr;;;;;fe;;;;;;;;;fe;;;;fe;fr;;;fe;;;fr;;;;fe;fe;;fe;;;;;fe;;;fe
PdlC-A2-20180905;PdlC;A2;1;3;20180905;pheno;2018;;;;;;di;;fe;;;;;;fe;;;;;fr;fe;;;fe;fr;;se;;;;;fe;fe;;;;;;;;fr;;;fe;fe;fr;fe;;fe;;;se;;;;fe;fe;;fe;;;;;fe;;;fe
PdlC-A2-20190701;PdlC;A2;1;3;20190701;pheno;2019;;;;;;;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;;;;;;;;;;fe;;;fe;;fe;;;fe;;;br;;;;;fe;;fe;;;;;fe;;;
PdlC-A2-20190722;PdlC;A2;1;3;20190722;pheno;2019;;;;;;fe;;fe;;;;;;fe;;;;;;fl;;;fe;bt;;fe;;;;;fe;fe;;;;;;;;;;;fe;;bt;fe;;fe;;;fl f;;;;fe;fe;;fe;;;;;bt;;;bt
PdlC-A2-20190812;PdlC;A2;1;3;20190812;pheno;2019;;;;;;bt;;;;;;;;fr;;;;;;fr;;;fe;fr;;fe;;;;;fe;fe;;;;;;;;fe;;;fe;;fr;;;fe;;;fr;;;;fe;;;fe;;;;;fe;;;fe
PdlC-A2-20190909;PdlC;A2;1;3;20190909;pheno;2019;fr;;;;;fr;;;;;;;;fe;;;;;fl;fr;;;fe;di;;fe;;;;;fe;fe;;;;;;;;;;;fe;;di;fe;;fe;;;di;;;;fe;;;fe;;;;;fe;;;di
Coeff-PdlC-A2-2013;PdlC;A2;1;3;2013;Coeff;2013;;;;;;;;;;;;;;;;;;;;1;;;;2;;1;;;;;;;;;;;;;;;+;;;;+;;;+;;;2;;;;;+;;1;;;;;1;;;
Coeff-PdlC-A2-20180815;PdlC;A2;1;3;20180815;Coeff;2018;;;;;;+;;+;;;;;;+;;;;;+;1;;;1;2;;1;;;;;1;;;;;;;;;+;;;;+;1;;;2;;;2;;;;1;+;;+;;;;;+;;;+
PdlC-A3-20130807;PdlC;A3;2;3;20130807;pheno;2013;;;;;;;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;fe;;fe;;;;;;;;;fe;;;;;;;;;fe;;fl f;;;;fe;fe;;fe;;;;fe;;;;fe
PdlC-A3-20130903;PdlC;A3;2;3;20130903;pheno;2013;;;;;;;fe;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;fe;;;;;;;;;fe;;;;;;;;;fe;;fr;;;;fe;fe;;fe;;;;fe;;;;fe
PdlC-A3-20140721;PdlC;A3;2;3;20140721;pheno;2014;;;;;;;fe;fe;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;;;;;;;;;;fe;;;;;fe;;;;fe;;fe;;;;fe;fe;;fe;;;;fe;;;;fe
PdlC-A3-20140811;PdlC;A3;2;3;20140811;pheno;2014;;;;;;;fe;;;;;;;;;;;;fe;fe;;;fe;fe;;fe;;;;;fe;;;;;;;;;fl;;;;;fl;;fe;;fe;;fe;;;;fe;fe;;fe;;;;fe;;;;fe
PdlC-A3-20140901;PdlC;A3;2;3;20140901;pheno;2014;;;;;;;fe;;;;;;;;;fl;;;fe;fe;;;fe;fr;;fe;;;fe;;fe;;;;;;;;;fr;;;;;fr;;;fe;fe;;fe;;;;fe;fe;;fr;;;;fe;;;;fe
PdlC-A3-20150701;PdlC;A3;2;3;20150701;pheno;2015;;;;;;;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;fe;;;;;;;;;bt;;;;;fl;;;fe;fe;;fe;;;;fe;fe;;fe;;;;fe;;;;fe
PdlC-A3-20150720;PdlC;A3;2;3;20150720;pheno;2015;;;;;;;fe;fe;;;;;;;;;;;;fe;;;fe;fr;;fe;;;;;fe;;;;;;;;;;;;;fe;fl;;;fe;fe;;fe;;;;fe;fe;;fe;;;;fl;;;;fr
PdlC-A3-20150810;PdlC;A3;2;3;20150810;pheno;2015;;;;;;;fe;fe;;;;;;;;;;;;fe;;;fe;fr;;fe;;;;;fe;;;;;;;;;;;;;;fr;;;;fe;;fe;;;;fe;fe;;fe;;;;fe;;;;di
PdlC-A3-20150831;PdlC;A3;2;3;20150831;pheno;2015;;;;;;;fe;fe;;;;;;;;;;;;fe;;;fe;di;;fe;;;fe;;fe;;;;;;;;;;;;;;se;;;;fe;;fe;;;;;fe;;fe;;;;fe;;;;di
PdlC-A3-20160705;PdlC;A3;2;3;20160705;pheno;2016;;;;;;;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;fe;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;;fe;;fe;;;;fe;;;;
PdlC-A3-20160726;PdlC;A3;2;3;20160726;pheno;2016;;;;;;;fe;;;;;;;;;;;;;fl;;;fe;fr;;fe;;;;;fe;;;;;;;;;fl;;;;;fl;;;fe;fe;;fr;;;;fe;fl;;fl;;;;bt;;;;fe
PdlC-A3-20160816;PdlC;A3;2;3;20160816;pheno;2016;;;;;;;fe;fe;fr;;;;;;;;;;;fe;;;fe;fr;;fr;;;;;fe;;;;;;;;;fr;;;;;fl;;;fe;fe;;fr;;;;;fr;;fe;;;;fr;;;;fe
PdlC-A3-20160907;PdlC;A3;2;3;20160907;pheno;2016;;;;;;;fe;fe;;;;;;;;;;;;di;;;fe;di;;fe;;;;;fe;;;;;;;;;;;;;;di;;;fe;fe;;se;;;;;fe;;fe;;;;fe;;;;fe
PdlC-A3-20170705;PdlC;A3;2;3;20170705;pheno;2017;;;;;;;;fe;;;;;;;;;;;;fe;;;;fe;;bt;;;;;fe;;;;;;;;;;;;;;fe;;;fe;fe;;fe;;;;fe;fe;;fe;;;;fe;;;;fe
PdlC-A3-20170726;PdlC;A3;2;3;20170726;pheno;2017;;;;;;;fe;;fe;;;;;;;;;;;fe;;;;fl;;fr;;;;;bt;;;;;;;;;;;;;fe;fl;;;fe;fe;;fl f;;;;;fe;;fl;;;;bt;;;;bt
PdlC-A3-20170816;PdlC;A3;2;3;20170816;pheno;2017;;;;;;;fe;;;;;;;fe;;;;;;fe;;;;di;;fe;;;fe;;fe;;;;;;;;;;;;;fe;fr;;;;fe;;di;;;;;fe;;fe;;;;fe;;;;di
PdlC-A3-20170906;PdlC;A3;2;3;20170906;pheno;2017;;;;;;;fe;;;;;;;fe;;;;;;fe;;;;di;;fe;;;fe;;fe;;;;;;;;;;;;;fe;se;;;;fe;;se;;;;fe;fe;;fe;;;;fe;;;;di
PdlC-A3-20180702;PdlC;A3;2;3;20180702;pheno;2018;;;;;;;;;;;;;;fe;;;;;;fe;;;fe;fe;;fe;;;fe;;fe;;;;;;;;;;;;;;fe;;fe;fe;fe;;br;;;;;fe;;;;;;;;;;
PdlC-A3-20180723;PdlC;A3;2;3;20180723;pheno;2018;;;;;;;fe;fe;;;;;;fe;;;;;fe;bt;;;fe;fe;;fe;;;fe;;fe;;;;;;;;;fl;;;;;bt;;fe;;;;fl f;;;;fe;fe;;fe;;;;bt;;;;fe
PdlC-A3-20180815;PdlC;A3;2;3;20180815;pheno;2018;;;;;;;fe;fe;;;;;;fe;;;;;fe;fr;;;fe;fl;;fe;;;fe;;fe;;;;;;;;;fr;;;;;fr;;fe;;;;fr;;;;;fe;;fe;;;;fe;;;;
PdlC-A3-20180905;PdlC;A3;2;3;20180905;pheno;2018;;;;;;;fe;fe;;;;;;fe;;;;;fe;di;;;fe;di;;fe;;;;;fe;fe;;;;;;;;fe;;;;;di;;;fe;;;se;;;;;fe;;fe;;;fe;fe;;;;
PdlC-A3-20190701;PdlC;A3;2;3;20190701;pheno;2019;;;;;;;;;fe;;;;;fe;;;;;;fe;;;fe;fe;;fe;;;;;fe;;;;;;;;;;;;fe;;fe;;;;;;fe;;;;;;;;;;;fe;;;;
PdlC-A3-20190722;PdlC;A3;2;3;20190722;pheno;2019;;;;;;;fe;fe;fr;;;;;bt;;;;;;fe;;;fe;bt;;fe;;;bt;;fe;fe;;;;;;;;;;;fe;;bt;;;;;;fr;;;;;fe;;fe;;;;bt;;;;fl
